#Read position (bp)	Clipping profile
0.0	20.20341743689239
1.0	0.5925273882985572
2.0	0.5793534595036424
3.0	0.5649819008182806
4.0	0.5568978990577647
5.0	0.5497121197150839
6.0	0.5389334507010626
7.0	0.5338435236666637
8.0	0.5296518190500998
9.0	0.5206695948717488
10.0	0.5098909258577276
11.0	0.5018069240972116
12.0	0.49222588497363723
13.0	0.47725551134305216
14.0	0.4697703245277595
15.0	0.45959047045896173
16.0	0.4524046911162809
17.0	0.44491950430098837
18.0	0.4395301697939777
19.0	0.45120706122583404
20.0	0.46348276760291385
21.0	0.48054899354178077
22.0	0.49941166431631795
23.0	0.5203701873991371
24.0	0.5371370058653924
25.0	0.548514489824637
26.0	0.5598919737838817
27.0	0.5670777531265625
28.0	0.575760569832302
29.0	0.5772576071953603
30.0	0.5790540520310306
31.0	0.5814493118119243
32.0	0.8260652169356844
33.0	17.691688149152824
34.0	0.5973179078603443
35.0	4.511471797313117
36.0	0.65989406963619
37.0	0.6524088828208975
38.0	0.6512112529304506
39.0	0.6649839966705889
40.0	0.6557023650196262
41.0	0.6557023650196262
42.0	0.6616905144718602
43.0	0.6664810340336474
44.0	0.6667804415062591
45.0	0.6718703685406581
46.0	0.6838466674451261
47.0	0.6874395571164665
48.0	0.6922300766782536
49.0	0.6940265215139239
50.0	0.6823496300820676
51.0	0.6700739237049879
52.0	0.6616905144718602
53.0	0.6571994023826847
54.0	0.6512112529304506
55.0	0.6509118454578389
56.0	0.6470195483138869
57.0	0.6401331764438176
58.0	0.6365402867724772
59.0	0.6308515447928549
60.0	0.6215699131418921
61.0	0.6155817636896581
62.0	0.611689466545706
63.0	0.6065995395113071
64.0	0.5982161302781795
65.0	0.5892339060998284
66.0	0.5790540520310306
67.0	0.5664789381813392
68.0	0.554502639276871
69.0	0.548514489824637
70.0	0.53144826388577
71.0	0.5215678172895839
72.0	0.5125855931112329
73.0	0.5030045539876584
74.0	0.4928246999188606
75.0	0.4778543262882755
76.0	0.4601892854041851
77.0	0.453302913534116
78.0	0.4452189117736
79.0	0.4311467605608501
80.0	0.4215657214372756
81.0	0.41437994209459483
82.0	0.4015054207722917
83.0	0.38863089944998847
84.0	0.3766546005455204
85.0	0.3715646735111215
86.0	0.36048659702448854
87.0	0.3506061504283024
88.0	0.34192333372256306
89.0	0.33024644229070665
90.0	0.3248571077836961
91.0	0.31677310602318015
92.0	0.30689265942699395
93.0	0.298808657666478
94.0	0.2904252484333504
95.0	0.2832394690906696
96.0	0.2775507271110473
97.0	0.2703649477683664
98.0	0.26048450117218025
99.0	0.25778983391867494
100.0	0.2515022769938292
101.0	0.24401709017853665
102.0	0.23862775567152608
103.0	0.23533427347279734
104.0	0.2338372361097388
105.0	0.2278490866575048
106.0	0.22156152973265905
107.0	0.21347752797214312
108.0	0.2053935262116272
109.0	0.20120182159506336
110.0	0.19701011697849957
111.0	0.1898243376358187
112.0	0.18293796576574958
113.0	0.18054270598485597
114.0	0.17814744620396233
115.0	0.17395574158739852
116.0	0.16796759213516452
117.0	0.1661711472994943
118.0	0.1619794426829305
119.0	0.15898536795681345
120.0	0.15120077366890922
121.0	0.14670966157973372
122.0	0.14012269718227627
123.0	0.13383514025743054
124.0	0.1260505459695263
125.0	0.11946358157206888
126.0	0.11557128442811675
127.0	0.11137957981155293
128.0	0.10838550508543593
129.0	0.1053914303593189
130.0	0.10030150332491997
131.0	0.09431335387268595
132.0	0.09161868661918064
133.0	0.08742698200261682
134.0	0.08772638947522853
135.0	0.08503172222172321
136.0	0.0826364624408296
137.0	0.07904357276948917
138.0	0.07694772046120726
139.0	0.07575009057076046
140.0	0.07275601584464345
141.0	0.07066016353636154
142.0	0.06586964397457432
143.0	0.0625761617758456
144.0	0.05958208704972859
145.0	0.05778564221405837
146.0	0.05389334507010626
147.0	0.05059986287137754
148.0	0.048803418035707334
149.0	0.044312305946531814
150.0	0.021257930555430803
