#Coverage	Number of genomic locations
0.0	14433.0
1.0	3469.0
2.0	6993.0
3.0	1470.0
4.0	2119.0
5.0	419.0
6.0	346.0
7.0	137.0
8.0	224.0
9.0	140.0
10.0	100.0
11.0	1.0
12.0	16.0
18.0	1.0
626.0	1.0
1385.0	1.0
3220.0	1.0
3309.0	1.0
3369.0	1.0
3427.0	1.0
3492.0	1.0
3563.0	1.0
3657.0	1.0
3769.0	1.0
3898.0	1.0
4039.0	1.0
4186.0	1.0
4357.0	1.0
4508.0	1.0
4518.0	1.0
4522.0	1.0
4533.0	1.0
4552.0	1.0
4575.0	1.0
4601.0	1.0
4613.0	1.0
4618.0	1.0
4636.0	1.0
4661.0	1.0
4692.0	1.0
4712.0	1.0
4716.0	1.0
4757.0	1.0
4792.0	1.0
4793.0	1.0
4804.0	1.0
4807.0	3.0
