#Insert size (bp)	insert size
5.0	2.0
6.0	2.0
7.0	8.0
8.0	18.0
9.0	54.0
10.0	62.0
11.0	65.0
12.0	65.0
13.0	57.0
14.0	66.0
15.0	66.0
16.0	62.0
17.0	64.0
18.0	59.0
19.0	254.0
20.0	229.0
21.0	196.0
22.0	418.0
23.0	404.0
24.0	386.0
25.0	349.0
26.0	305.0
27.0	260.0
28.0	245.0
29.0	228.0
30.0	231.0
31.0	193.0
32.0	178.0
33.0	5877.0
34.0	422.0
35.0	159.0
36.0	11.0
37.0	1.0
40.0	1.0
43.0	1.0
48.0	1.0
52.0	3.0
53.0	1.0
56.0	3.0
57.0	1.0
58.0	5.0
59.0	5.0
60.0	2.0
61.0	4.0
62.0	2.0
63.0	10.0
64.0	5.0
65.0	6.0
66.0	6.0
67.0	4.0
68.0	12.0
69.0	13.0
70.0	8.0
71.0	9.0
72.0	9.0
73.0	13.0
74.0	17.0
75.0	14.0
76.0	19.0
77.0	22.0
78.0	19.0
79.0	18.0
80.0	24.0
81.0	31.0
82.0	26.0
83.0	26.0
84.0	45.0
85.0	32.0
86.0	49.0
87.0	43.0
88.0	44.0
89.0	34.0
90.0	51.0
91.0	62.0
92.0	54.0
93.0	57.0
94.0	57.0
95.0	55.0
96.0	50.0
97.0	64.0
98.0	65.0
99.0	64.0
100.0	69.0
101.0	70.0
102.0	68.0
103.0	82.0
104.0	68.0
105.0	66.0
106.0	71.0
107.0	91.0
108.0	98.0
109.0	81.0
110.0	84.0
111.0	69.0
112.0	86.0
113.0	82.0
114.0	90.0
115.0	79.0
116.0	93.0
117.0	89.0
118.0	96.0
119.0	94.0
120.0	98.0
121.0	101.0
122.0	77.0
123.0	100.0
124.0	94.0
125.0	87.0
126.0	104.0
127.0	92.0
128.0	89.0
129.0	98.0
130.0	91.0
131.0	101.0
132.0	92.0
133.0	103.0
134.0	81.0
135.0	105.0
136.0	115.0
137.0	101.0
138.0	95.0
139.0	86.0
140.0	93.0
141.0	97.0
142.0	95.0
143.0	100.0
144.0	85.0
145.0	84.0
146.0	110.0
147.0	102.0
148.0	106.0
149.0	107.0
150.0	95.0
151.0	93.0
152.0	99.0
153.0	98.0
154.0	94.0
155.0	100.0
156.0	97.0
157.0	100.0
158.0	100.0
159.0	109.0
160.0	100.0
161.0	106.0
162.0	87.0
163.0	83.0
164.0	93.0
165.0	96.0
166.0	85.0
167.0	102.0
168.0	83.0
169.0	108.0
170.0	78.0
171.0	92.0
172.0	83.0
173.0	100.0
174.0	81.0
175.0	93.0
176.0	91.0
177.0	82.0
178.0	90.0
179.0	81.0
180.0	91.0
181.0	65.0
182.0	73.0
183.0	78.0
184.0	68.0
185.0	86.0
186.0	67.0
187.0	80.0
188.0	72.0
189.0	84.0
190.0	66.0
191.0	69.0
192.0	76.0
193.0	65.0
194.0	60.0
195.0	67.0
196.0	62.0
197.0	68.0
198.0	78.0
199.0	78.0
200.0	67.0
201.0	67.0
202.0	63.0
203.0	58.0
204.0	50.0
205.0	58.0
206.0	59.0
207.0	60.0
208.0	67.0
209.0	52.0
210.0	60.0
211.0	52.0
212.0	67.0
213.0	62.0
214.0	49.0
215.0	62.0
216.0	63.0
217.0	73.0
218.0	50.0
219.0	51.0
220.0	55.0
221.0	54.0
222.0	59.0
223.0	44.0
224.0	47.0
225.0	49.0
226.0	60.0
227.0	51.0
228.0	48.0
229.0	51.0
230.0	44.0
231.0	61.0
232.0	47.0
233.0	41.0
234.0	38.0
235.0	39.0
236.0	41.0
237.0	44.0
238.0	45.0
239.0	42.0
240.0	37.0
241.0	42.0
242.0	32.0
243.0	38.0
244.0	30.0
245.0	34.0
246.0	37.0
247.0	32.0
248.0	38.0
249.0	37.0
250.0	40.0
251.0	54.0
252.0	38.0
253.0	31.0
254.0	27.0
255.0	29.0
256.0	32.0
257.0	33.0
258.0	44.0
259.0	30.0
260.0	34.0
261.0	24.0
262.0	35.0
263.0	35.0
264.0	42.0
265.0	33.0
266.0	29.0
267.0	27.0
268.0	31.0
269.0	24.0
270.0	20.0
271.0	29.0
272.0	32.0
273.0	28.0
274.0	21.0
275.0	32.0
276.0	25.0
277.0	26.0
278.0	30.0
279.0	26.0
280.0	25.0
281.0	24.0
282.0	28.0
283.0	15.0
284.0	19.0
285.0	15.0
286.0	27.0
287.0	20.0
288.0	25.0
289.0	21.0
290.0	24.0
291.0	16.0
292.0	18.0
293.0	17.0
294.0	16.0
295.0	16.0
296.0	16.0
297.0	24.0
298.0	16.0
299.0	15.0
300.0	10.0
301.0	17.0
302.0	18.0
303.0	21.0
304.0	17.0
305.0	18.0
306.0	14.0
307.0	10.0
308.0	11.0
309.0	12.0
310.0	13.0
311.0	12.0
312.0	16.0
313.0	13.0
314.0	9.0
315.0	15.0
316.0	12.0
317.0	19.0
318.0	13.0
319.0	13.0
320.0	12.0
321.0	12.0
322.0	14.0
323.0	8.0
324.0	9.0
325.0	8.0
326.0	17.0
327.0	7.0
328.0	16.0
329.0	15.0
330.0	9.0
331.0	11.0
332.0	11.0
333.0	9.0
334.0	17.0
335.0	10.0
336.0	6.0
337.0	10.0
338.0	7.0
339.0	8.0
340.0	10.0
341.0	12.0
342.0	7.0
343.0	5.0
344.0	7.0
345.0	4.0
346.0	11.0
347.0	6.0
348.0	8.0
349.0	8.0
350.0	7.0
351.0	9.0
352.0	7.0
353.0	8.0
354.0	5.0
355.0	6.0
356.0	6.0
357.0	10.0
358.0	9.0
