#Coverage (X)	Coverage
1.0	99.966558539277
2.0	99.966558539277
3.0	99.9632143932047
4.0	99.9598702471324
5.0	99.95652610106009
6.0	99.95652610106009
7.0	99.95652610106009
8.0	99.95652610106009
9.0	99.95652610106009
10.0	99.9531819549878
11.0	99.9531819549878
12.0	99.94983780891549
13.0	99.94983780891549
14.0	99.94983780891549
15.0	99.94983780891549
16.0	99.94983780891549
17.0	99.94983780891549
18.0	99.94983780891549
19.0	99.94983780891549
20.0	99.94983780891549
21.0	99.9464936628432
22.0	99.93646122462629
23.0	99.93311707855399
24.0	99.91974049426479
25.0	99.91639634819249
26.0	99.87626659532488
27.0	99.84282513460188
28.0	99.81607196602347
29.0	99.73581246028826
30.0	99.66558539276996
31.0	99.62545563990236
32.0	99.60204661739625
33.0	99.58198174096245
34.0	99.56191686452864
35.0	99.53850784202254
36.0	99.51509881951644
37.0	99.49168979701034
38.0	99.43149516770893
39.0	99.41143029127512
40.0	99.36461224626292
41.0	99.3111059091061
42.0	99.2642878640939
43.0	99.1806842122864
44.0	99.12383372905728
45.0	99.01013276259907
46.0	98.90312008828546
47.0	98.83623716683945
48.0	98.73256863859814
49.0	98.63558840250143
50.0	98.40149817744039
51.0	98.27776477276528
