#GC Content (%)	Sample
1.0	0.17944250871080142
2.0	0.026132404181184666
3.0	0.003484320557491289
4.0	0.024390243902439025
5.0	0.09930313588850175
6.0	0.006968641114982578
7.0	0.0017421602787456446
8.0	0.0
9.0	0.0017421602787456446
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0017421602787456446
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.003484320557491289
28.0	0.0017421602787456446
29.0	0.003484320557491289
30.0	0.0017421602787456446
31.0	0.017421602787456445
32.0	0.024390243902439022
33.0	0.02613240418118467
34.0	0.04181184668989547
35.0	0.05574912891986063
36.0	0.05923344947735191
37.0	0.05574912891986062
38.0	0.06445993031358885
39.0	0.05749128919860627
40.0	0.06097560975609756
41.0	0.03484320557491289
42.0	0.041811846689895474
43.0	0.02613240418118467
44.0	0.013937282229965157
45.0	0.006968641114982578
46.0	0.010452961672473867
47.0	0.006968641114982578
48.0	0.0156794425087108
49.0	0.005226480836236934
50.0	0.003484320557491289
51.0	0.006968641114982578
52.0	0.005226480836236934
53.0	0.0017421602787456446
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0017421602787456446
