#Mapping quality	mapping quality
10.0	1.0
11.0	1.0
12.0	1.0
13.0	2.0
14.0	1.0
15.0	1.0
16.0	1.0
17.0	1.0
19.0	1.0
21.0	1.0
22.0	1.0
23.0	2.0
24.0	20.0
30.0	1.0
36.0	1.0
39.0	1.0
40.0	76.0
42.0	1.0
45.0	26.0
46.0	54.0
48.0	11.0
49.0	1.0
50.0	44.0
51.0	5.0
52.0	132.0
53.0	95.0
54.0	52.0
55.0	139.0
56.0	95.0
57.0	33.0
58.0	73.0
59.0	1.0
60.0	27397.0
