#Insert size (bp)	insert size
3.0	1.0
6.0	1.0
7.0	5.0
8.0	2.0
9.0	69.0
10.0	74.0
11.0	64.0
12.0	86.0
13.0	110.0
14.0	107.0
15.0	68.0
16.0	77.0
17.0	85.0
18.0	81.0
19.0	505.0
20.0	320.0
21.0	243.0
22.0	438.0
23.0	433.0
24.0	397.0
25.0	409.0
26.0	362.0
27.0	336.0
28.0	337.0
29.0	324.0
30.0	902.0
31.0	889.0
32.0	859.0
33.0	151951.0
34.0	1129.0
35.0	405.0
36.0	8.0
39.0	6.0
42.0	1.0
45.0	2.0
46.0	3.0
48.0	4.0
49.0	1.0
50.0	1.0
51.0	2.0
52.0	4.0
53.0	6.0
54.0	1.0
55.0	5.0
56.0	8.0
57.0	6.0
58.0	18.0
59.0	13.0
60.0	23.0
61.0	24.0
62.0	18.0
63.0	27.0
64.0	30.0
65.0	37.0
66.0	31.0
67.0	38.0
68.0	54.0
69.0	54.0
70.0	72.0
71.0	73.0
72.0	93.0
73.0	115.0
74.0	119.0
75.0	126.0
76.0	135.0
77.0	161.0
78.0	175.0
79.0	177.0
80.0	197.0
81.0	238.0
82.0	231.0
83.0	272.0
84.0	276.0
85.0	338.0
86.0	319.0
87.0	365.0
88.0	406.0
89.0	401.0
90.0	423.0
91.0	448.0
92.0	442.0
93.0	546.0
94.0	495.0
95.0	540.0
96.0	558.0
97.0	557.0
98.0	579.0
99.0	587.0
100.0	619.0
101.0	657.0
102.0	619.0
103.0	645.0
104.0	716.0
105.0	709.0
106.0	777.0
107.0	750.0
108.0	776.0
109.0	752.0
110.0	750.0
111.0	807.0
112.0	760.0
113.0	807.0
114.0	843.0
115.0	818.0
116.0	884.0
117.0	856.0
118.0	875.0
119.0	847.0
120.0	917.0
121.0	827.0
122.0	813.0
123.0	835.0
124.0	865.0
125.0	933.0
126.0	975.0
127.0	921.0
128.0	904.0
129.0	963.0
130.0	901.0
131.0	925.0
132.0	867.0
133.0	896.0
134.0	936.0
135.0	969.0
136.0	965.0
137.0	952.0
138.0	963.0
139.0	959.0
140.0	953.0
141.0	887.0
142.0	865.0
143.0	924.0
144.0	894.0
145.0	937.0
146.0	943.0
147.0	1012.0
148.0	952.0
149.0	980.0
150.0	969.0
151.0	917.0
152.0	933.0
153.0	905.0
154.0	907.0
155.0	934.0
156.0	963.0
157.0	986.0
158.0	978.0
159.0	999.0
160.0	964.0
161.0	969.0
162.0	868.0
163.0	884.0
164.0	886.0
165.0	888.0
166.0	875.0
167.0	956.0
168.0	1007.0
169.0	909.0
170.0	894.0
171.0	854.0
172.0	877.0
173.0	877.0
174.0	827.0
175.0	834.0
176.0	840.0
177.0	888.0
178.0	925.0
179.0	922.0
180.0	859.0
181.0	842.0
182.0	823.0
183.0	788.0
184.0	838.0
185.0	734.0
186.0	779.0
187.0	788.0
188.0	805.0
189.0	827.0
190.0	805.0
191.0	775.0
192.0	811.0
193.0	721.0
194.0	745.0
195.0	733.0
196.0	748.0
197.0	725.0
198.0	783.0
199.0	758.0
200.0	752.0
201.0	754.0
202.0	740.0
203.0	712.0
204.0	710.0
205.0	698.0
206.0	677.0
207.0	660.0
208.0	687.0
209.0	681.0
210.0	703.0
211.0	700.0
212.0	666.0
213.0	666.0
214.0	654.0
215.0	610.0
216.0	591.0
217.0	614.0
218.0	638.0
219.0	648.0
220.0	608.0
221.0	633.0
222.0	629.0
223.0	606.0
224.0	627.0
225.0	597.0
226.0	571.0
227.0	574.0
228.0	577.0
229.0	615.0
230.0	602.0
231.0	583.0
232.0	614.0
233.0	594.0
234.0	556.0
235.0	512.0
236.0	533.0
237.0	519.0
238.0	522.0
239.0	553.0
240.0	531.0
241.0	523.0
242.0	550.0
243.0	535.0
244.0	500.0
245.0	503.0
246.0	469.0
247.0	492.0
248.0	487.0
249.0	510.0
250.0	475.0
251.0	472.0
252.0	465.0
253.0	504.0
254.0	502.0
255.0	489.0
256.0	497.0
257.0	471.0
258.0	393.0
259.0	422.0
260.0	422.0
261.0	441.0
262.0	428.0
263.0	431.0
264.0	432.0
265.0	412.0
266.0	404.0
267.0	381.0
268.0	396.0
269.0	394.0
270.0	379.0
271.0	367.0
272.0	366.0
273.0	408.0
274.0	422.0
275.0	409.0
276.0	341.0
277.0	341.0
278.0	324.0
279.0	339.0
280.0	340.0
281.0	357.0
282.0	377.0
283.0	363.0
284.0	354.0
285.0	356.0
286.0	336.0
287.0	350.0
288.0	316.0
289.0	304.0
290.0	300.0
291.0	322.0
292.0	314.0
293.0	324.0
294.0	317.0
295.0	298.0
296.0	319.0
297.0	279.0
298.0	266.0
299.0	290.0
300.0	255.0
301.0	272.0
302.0	261.0
303.0	269.0
304.0	261.0
305.0	267.0
306.0	259.0
307.0	261.0
308.0	245.0
309.0	243.0
310.0	226.0
311.0	228.0
312.0	246.0
313.0	241.0
314.0	225.0
315.0	234.0
316.0	237.0
317.0	224.0
318.0	220.0
319.0	237.0
320.0	202.0
321.0	214.0
322.0	209.0
323.0	193.0
324.0	222.0
325.0	210.0
326.0	198.0
327.0	205.0
328.0	191.0
329.0	187.0
330.0	205.0
331.0	204.0
332.0	193.0
333.0	188.0
334.0	187.0
335.0	194.0
336.0	185.0
337.0	176.0
338.0	182.0
339.0	186.0
340.0	176.0
341.0	166.0
342.0	149.0
343.0	168.0
344.0	186.0
345.0	179.0
346.0	155.0
347.0	141.0
348.0	140.0
349.0	150.0
350.0	134.0
351.0	151.0
352.0	140.0
353.0	155.0
354.0	115.0
355.0	141.0
356.0	132.0
357.0	143.0
358.0	122.0
359.0	134.0
360.0	144.0
361.0	109.0
362.0	125.0
363.0	122.0
364.0	123.0
365.0	139.0
366.0	131.0
367.0	120.0
368.0	115.0
369.0	116.0
370.0	128.0
371.0	117.0
372.0	106.0
