#Coverage	Number of genomic locations
0.0	239.0
1.0	1210.0
2.0	1964.0
3.0	2747.0
4.0	2683.0
5.0	3117.0
6.0	3001.0
7.0	2476.0
8.0	2353.0
9.0	2002.0
10.0	1561.0
11.0	1306.0
12.0	1267.0
13.0	1116.0
14.0	799.0
15.0	600.0
16.0	482.0
17.0	238.0
18.0	168.0
19.0	190.0
20.0	95.0
21.0	57.0
22.0	46.0
23.0	26.0
24.0	32.0
25.0	35.0
26.0	45.0
27.0	12.0
34.0	1.0
424.0	1.0
1105.0	1.0
1219.0	1.0
1348.0	1.0
1495.0	1.0
1698.0	1.0
1920.0	1.0
2179.0	1.0
2448.0	1.0
2463.0	1.0
2750.0	1.0
3090.0	1.0
3477.0	1.0
3868.0	1.0
4261.0	1.0
4272.0	1.0
4302.0	1.0
4345.0	1.0
4388.0	1.0
4436.0	1.0
4477.0	1.0
4529.0	1.0
4532.0	1.0
4595.0	1.0
4668.0	1.0
4746.0	1.0
4792.0	1.0
4839.0	1.0
4917.0	1.0
4996.0	1.0
5021.0	1.0
5038.0	1.0
5055.0	1.0
5056.0	1.0
5057.0	1.0
