#Coverage (X)	Coverage
1.0	99.2007490887202
2.0	95.15433234123667
3.0	88.5864294552386
4.0	79.4000601946293
5.0	70.42771628264722
6.0	60.004012975286756
7.0	49.96823061231314
8.0	41.68812493729726
9.0	33.819349229174335
10.0	27.124368792428854
11.0	21.904156773567877
12.0	17.536702003143503
13.0	13.299668929538853
14.0	9.567601912851558
15.0	6.8956292010835085
16.0	4.88914155770324
17.0	3.2772631508544237
18.0	2.4813563856469187
19.0	1.9195398455004522
20.0	1.2841520917633744
21.0	0.9664582148948284
22.0	0.775841888773698
23.0	0.6220111694478732
24.0	0.5350633715680573
25.0	0.42805069725444866
26.0	0.3110055847239295
27.0	0.16051901147041292
28.0	0.12038925860281324
29.0	0.12038925860281324
30.0	0.12038925860281324
31.0	0.12038925860281324
32.0	0.12038925860281324
33.0	0.12038925860281324
34.0	0.12038925860281324
35.0	0.11704511253051919
36.0	0.11704511253051919
37.0	0.11704511253051919
38.0	0.11704511253051919
39.0	0.11704511253051919
40.0	0.11704511253051919
41.0	0.11704511253051919
42.0	0.11704511253051919
43.0	0.11704511253051919
44.0	0.11704511253051919
45.0	0.11704511253051919
46.0	0.11704511253051919
47.0	0.11704511253051919
48.0	0.11704511253051919
49.0	0.11704511253051919
50.0	0.11704511253051919
51.0	0.11704511253051919
