#Coverage (X)	Coverage
1.0	99.95652610106009
2.0	99.9531819549878
3.0	99.87961074139719
4.0	99.71909172992676
5.0	99.20743738086479
6.0	97.7326689629803
7.0	95.54225328562352
8.0	93.1311239674949
9.0	90.35548272748554
10.0	86.63344814901515
11.0	81.99177340066214
12.0	76.73477577500586
13.0	70.63170919305756
14.0	64.89315453299
15.0	59.706383974852024
16.0	55.09146239507742
17.0	50.446443500652116
18.0	46.179313112396756
19.0	42.52750560144467
20.0	39.029528809818416
21.0	35.26736447848042
22.0	32.17402936160251
23.0	29.11413570544761
24.0	25.920476206400693
25.0	22.64990134769087
26.0	19.720429388355683
27.0	17.138748620539744
28.0	15.342942179714413
29.0	13.657492559275
30.0	11.95866635454638
31.0	10.721332307795223
32.0	9.447212654248759
33.0	8.293482259305108
34.0	7.086245527204653
35.0	6.052904390863816
36.0	5.1432966591981
37.0	4.374143062569004
38.0	3.6317426345183037
39.0	3.1000234090225405
40.0	2.6485636892619766
41.0	2.31749322810424
42.0	2.08674714911551
43.0	1.852656924054486
44.0	1.6620405979333555
45.0	1.3008728221249015
46.0	1.1169447881483734
47.0	0.902919439521142
48.0	0.789218473062931
49.0	0.6822057987493224
50.0	0.5417516637127022
51.0	0.41467411296528667
