#Coverage	Number of genomic locations
0.0	13.0
1.0	1.0
2.0	22.0
3.0	48.0
4.0	153.0
5.0	441.0
6.0	655.0
7.0	721.0
8.0	830.0
9.0	1113.0
10.0	1388.0
11.0	1572.0
12.0	1825.0
13.0	1716.0
14.0	1551.0
15.0	1380.0
16.0	1389.0
17.0	1276.0
18.0	1092.0
19.0	1046.0
20.0	1125.0
21.0	925.0
22.0	915.0
23.0	955.0
24.0	978.0
25.0	876.0
26.0	772.0
27.0	537.0
28.0	504.0
29.0	508.0
30.0	370.0
31.0	381.0
32.0	345.0
33.0	361.0
34.0	309.0
35.0	272.0
36.0	230.0
37.0	222.0
38.0	159.0
39.0	135.0
40.0	99.0
41.0	69.0
42.0	70.0
43.0	57.0
44.0	108.0
45.0	55.0
46.0	64.0
47.0	34.0
48.0	32.0
49.0	42.0
50.0	38.0
51.0	24.0
52.0	15.0
53.0	19.0
54.0	12.0
55.0	7.0
58.0	1.0
59.0	1.0
60.0	7.0
62.0	1.0
76.0	1.0
192.0	1.0
4228.0	1.0
11465.0	1.0
31925.0	1.0
33125.0	1.0
33716.0	1.0
34340.0	1.0
35036.0	1.0
35809.0	1.0
36691.0	1.0
37627.0	1.0
38633.0	1.0
39714.0	1.0
41001.0	1.0
42309.0	1.0
42997.0	1.0
43169.0	1.0
43339.0	1.0
43540.0	1.0
43648.0	1.0
43739.0	1.0
43934.0	1.0
44144.0	1.0
44370.0	1.0
44406.0	1.0
44639.0	1.0
44981.0	1.0
45254.0	1.0
45349.0	1.0
45736.0	1.0
46115.0	1.0
46119.0	1.0
46245.0	1.0
46292.0	1.0
46305.0	1.0
46316.0	1.0
