#Mapping quality	mapping quality
6.0	2.0
7.0	3.0
8.0	2.0
9.0	1.0
10.0	1.0
11.0	1.0
12.0	1.0
13.0	1.0
14.0	12.0
15.0	9.0
18.0	1.0
27.0	1.0
37.0	1.0
38.0	2.0
39.0	1.0
47.0	11.0
48.0	24.0
49.0	26.0
50.0	64.0
51.0	46.0
52.0	172.0
53.0	92.0
54.0	164.0
55.0	289.0
56.0	675.0
57.0	745.0
58.0	1009.0
59.0	283.0
60.0	26251.0
