#Coverage	Number of genomic locations
0.0	13.0
3.0	35.0
4.0	40.0
5.0	73.0
6.0	15.0
7.0	65.0
8.0	83.0
9.0	150.0
10.0	258.0
11.0	304.0
12.0	291.0
13.0	482.0
14.0	455.0
15.0	607.0
16.0	482.0
17.0	636.0
18.0	752.0
19.0	798.0
20.0	850.0
21.0	902.0
22.0	943.0
23.0	931.0
24.0	997.0
25.0	968.0
26.0	1298.0
27.0	1169.0
28.0	988.0
29.0	910.0
30.0	1030.0
31.0	809.0
32.0	728.0
33.0	587.0
34.0	631.0
35.0	702.0
36.0	624.0
37.0	641.0
38.0	581.0
39.0	589.0
40.0	549.0
41.0	565.0
42.0	457.0
43.0	344.0
44.0	433.0
45.0	400.0
46.0	319.0
47.0	312.0
48.0	383.0
49.0	341.0
50.0	279.0
51.0	261.0
52.0	198.0
53.0	190.0
54.0	189.0
55.0	156.0
56.0	200.0
57.0	138.0
58.0	164.0
59.0	157.0
60.0	117.0
61.0	121.0
62.0	116.0
63.0	110.0
64.0	93.0
65.0	66.0
66.0	128.0
67.0	69.0
68.0	40.0
69.0	37.0
70.0	36.0
71.0	26.0
72.0	37.0
73.0	55.0
74.0	35.0
75.0	21.0
76.0	24.0
77.0	20.0
78.0	22.0
79.0	28.0
80.0	26.0
81.0	12.0
82.0	13.0
83.0	13.0
84.0	13.0
85.0	5.0
86.0	8.0
87.0	3.0
88.0	5.0
89.0	2.0
90.0	11.0
91.0	8.0
92.0	14.0
93.0	11.0
94.0	3.0
95.0	9.0
96.0	2.0
97.0	4.0
98.0	1.0
100.0	1.0
101.0	2.0
104.0	3.0
105.0	1.0
106.0	5.0
116.0	1.0
122.0	3.0
128.0	7.0
132.0	2.0
134.0	6.0
135.0	18.0
138.0	1.0
139.0	1.0
165.0	1.0
7070.0	1.0
12243.0	1.0
70494.0	1.0
71813.0	1.0
72186.0	1.0
72661.0	1.0
73171.0	1.0
73735.0	1.0
74376.0	1.0
75114.0	1.0
75952.0	1.0
76784.0	1.0
77743.0	1.0
78684.0	1.0
78999.0	1.0
79148.0	1.0
79287.0	1.0
79462.0	1.0
79616.0	1.0
79736.0	1.0
79816.0	1.0
80029.0	1.0
80228.0	1.0
80388.0	1.0
80480.0	1.0
80747.0	1.0
81031.0	1.0
81110.0	1.0
81362.0	1.0
81725.0	1.0
81777.0	1.0
81866.0	1.0
81905.0	1.0
81918.0	1.0
81923.0	1.0
