#Insert size (bp)	insert size
5.0	5.0
6.0	5.0
7.0	21.0
8.0	39.0
9.0	141.0
10.0	117.0
11.0	126.0
12.0	117.0
13.0	116.0
14.0	111.0
15.0	127.0
16.0	115.0
17.0	88.0
18.0	102.0
19.0	470.0
20.0	353.0
21.0	279.0
22.0	466.0
23.0	417.0
24.0	451.0
25.0	383.0
26.0	403.0
27.0	361.0
28.0	321.0
29.0	330.0
30.0	343.0
31.0	363.0
32.0	284.0
33.0	31580.0
34.0	522.0
35.0	355.0
36.0	14.0
37.0	4.0
39.0	4.0
43.0	1.0
52.0	1.0
53.0	3.0
54.0	4.0
55.0	1.0
56.0	3.0
57.0	1.0
59.0	1.0
60.0	1.0
61.0	1.0
62.0	1.0
63.0	1.0
64.0	3.0
65.0	4.0
66.0	11.0
