#GC Content (%)	Sample
1.0	0.3209373408048905
2.0	0.013245033112582783
3.0	0.0020376974019358125
4.0	0.023433520122261846
5.0	0.05298013245033113
6.0	0.0025471217524197657
7.0	5.094243504839531E-4
8.0	5.094243504839531E-4
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	5.094243504839531E-4
21.0	0.0
22.0	0.0
23.0	5.094243504839531E-4
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.003565970453387672
28.0	0.0010188487009679063
29.0	0.0025471217524197657
30.0	0.005094243504839531
31.0	0.009169638308711156
32.0	0.019358125318390217
33.0	0.024961793173713703
34.0	0.030056036678553236
35.0	0.04482934284258788
36.0	0.05399898115129903
37.0	0.05094243504839532
38.0	0.05909322465613856
39.0	0.05603667855323484
40.0	0.036678553234844626
41.0	0.041772796739684155
42.0	0.033112582781456956
43.0	0.02445236882322975
44.0	0.013754457463066735
45.0	0.010697911360163015
46.0	0.010697911360163017
47.0	0.012226184411614875
48.0	0.011207335710646969
49.0	0.007131940906775344
50.0	0.007641365257259297
51.0	0.004584819154355578
52.0	0.004075394803871625
53.0	0.0025471217524197657
54.0	0.0010188487009679063
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	5.094243504839531E-4
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
