#Read position (bp)	Clipping profile
0.0	38.78733678225872
1.0	0.22137268984685324
2.0	0.21493377506155115
3.0	0.21095844506366898
4.0	0.2078369711568812
5.0	0.2043095656658027
6.0	0.20121608704069016
7.0	0.19864052112656935
8.0	0.19654087500092735
9.0	0.193223434122413
10.0	0.19018594606065095
11.0	0.18745640609731637
12.0	0.18461488500728088
13.0	0.1803176092701336
14.0	0.17700016839161928
15.0	0.17319281008378848
16.0	0.1699313597686246
17.0	0.16766374195293124
18.0	0.16482222086289577
19.0	0.16924547536758155
20.0	0.17428462606912232
21.0	0.17965972015076578
22.0	0.18412496757796443
23.0	0.18969602863133447
24.0	0.19470718405120002
25.0	0.19841655887316753
26.0	0.20250386999775058
27.0	0.20541537929197412
28.0	0.20797694756525736
29.0	0.20937671164901867
30.0	0.21749534333483436
31.0	0.21895109798194612
32.0	0.42660609980793834
33.0	35.26916973413301
34.0	0.30183112938145407
35.0	2.9879504108377577
36.0	0.24001754744255402
37.0	0.22999523660282295
38.0	0.23787590839439923
39.0	0.2526294218372436
40.0	0.22971528378607067
41.0	0.2296033026593698
42.0	0.24277508268756384
43.0	0.231297017200721
44.0	0.24521067219330853
45.0	0.2327667694886704
46.0	0.24554661557341126
47.0	0.23643415138812504
48.0	0.23875775976716884
49.0	0.24024150969595587
50.0	0.2382118517745019
51.0	0.24150129737134104
52.0	0.2530353534215343
53.0	0.2339425713190299
54.0	0.23262679308029424
55.0	0.2318429251933879
56.0	0.23212287801014017
57.0	0.23020520121538715
58.0	0.2291833734342414
59.0	0.2415992808572043
60.0	0.22631385706253065
61.0	0.22483010713374366
62.0	0.23381659255149134
63.0	0.22170863322695591
64.0	0.2193150366437241
65.0	0.21760732446153525
66.0	0.21552167597673086
67.0	0.2121622421757037
68.0	0.2094047069306939
69.0	0.20680114573489783
70.0	0.20407160577156327
71.0	0.20097812714645075
72.0	0.1979686343663639
73.0	0.19493114630460182
74.0	0.19211762049624156
75.0	0.18983600503971063
76.0	0.18714845799888885
77.0	0.18506280951408452
78.0	0.1822072907832114
79.0	0.18006565173505656
80.0	0.17770005043349996
81.0	0.17505449631519104
82.0	0.17221297522515555
83.0	0.17008533381783836
84.0	0.16715982688277717
85.0	0.1639963600534766
86.0	0.1611828342451163
87.0	0.15813134854251665
88.0	0.15500987463572888
89.0	0.1521543559048558
90.0	0.14945281122319642
91.0	0.14705921463996457
92.0	0.14484758738762168
93.0	0.14266395541695404
94.0	0.14043833052377352
95.0	0.1374568330253619
96.0	0.13506323644213006
97.0	0.1325716563730349
98.0	0.13023405035315347
99.0	0.12768647972070787
100.0	0.12557283595422827
101.0	0.12219940451236348
102.0	0.11939987634484084
103.0	0.1166003481773182
104.0	0.11366084360141943
105.0	0.11081932251138393
106.0	0.10736190522449346
107.0	0.10429642188105616
108.0	0.10137091494599501
109.0	0.09843141037009623
110.0	0.09553389871671028
111.0	0.09291633988007662
112.0	0.09049474801516952
113.0	0.08798917030523676
114.0	0.08558157608116727
115.0	0.08356591580055098
116.0	0.08080838055554117
117.0	0.07908667073251474
118.0	0.0771409986560865
119.0	0.07511134073463258
120.0	0.07238180077129801
121.0	0.0701561758781175
122.0	0.0683504802100654
123.0	0.06639081049279953
124.0	0.06392722570537962
125.0	0.06199555126978899
126.0	0.060231848524249725
127.0	0.05832816937033432
128.0	0.05653647134311983
129.0	0.05424085824575126
130.0	0.052169207401784504
131.0	0.05006956127614252
132.0	0.048977745290808686
133.0	0.047983912791338144
134.0	0.04746600008034646
135.0	0.0458142784615081
136.0	0.04433052853272109
137.0	0.042916766808122155
138.0	0.04148900744268561
139.0	0.04007524571808667
140.0	0.03896943209191523
141.0	0.03761166093066675
142.0	0.03628188505109349
143.0	0.03498010445319546
144.0	0.03349635452440845
145.0	0.03187262818724532
146.0	0.030220906568406963
147.0	0.028667168435431892
148.0	0.02680548220402933
149.0	0.024243913930746114
150.0	0.006942829855456162
