#Coverage	Number of genomic locations
0.0	4927.0
1.0	2915.0
2.0	5947.0
3.0	3931.0
4.0	4171.0
5.0	2276.0
6.0	2131.0
7.0	1068.0
8.0	1207.0
9.0	537.0
10.0	314.0
11.0	199.0
12.0	145.0
13.0	33.0
14.0	12.0
15.0	29.0
16.0	24.0
18.0	1.0
63.0	1.0
966.0	1.0
2901.0	1.0
5199.0	1.0
5464.0	1.0
5601.0	1.0
5759.0	1.0
5933.0	1.0
6125.0	1.0
6355.0	1.0
6625.0	1.0
6910.0	1.0
7199.0	1.0
7533.0	1.0
7883.0	1.0
8252.0	1.0
8311.0	1.0
8357.0	1.0
8393.0	1.0
8444.0	1.0
8497.0	1.0
8509.0	1.0
8552.0	1.0
8613.0	1.0
8664.0	1.0
8722.0	1.0
8782.0	1.0
8784.0	1.0
8839.0	1.0
8904.0	1.0
8983.0	1.0
8988.0	1.0
9013.0	1.0
9021.0	1.0
9024.0	1.0
9026.0	1.0
