#Mapping quality	mapping quality
9.0	2.0
10.0	2.0
11.0	2.0
12.0	1.0
13.0	1.0
14.0	1.0
15.0	1.0
17.0	1.0
18.0	1.0
19.0	1.0
20.0	14.0
21.0	7.0
30.0	1.0
34.0	1.0
35.0	2.0
38.0	1.0
40.0	19.0
44.0	20.0
45.0	2.0
46.0	72.0
47.0	51.0
48.0	59.0
49.0	29.0
50.0	115.0
51.0	37.0
52.0	180.0
53.0	242.0
54.0	158.0
55.0	268.0
56.0	279.0
57.0	194.0
58.0	81.0
59.0	8.0
60.0	27112.0
