#Coverage	Number of genomic locations
0.0	3987.0
1.0	4408.0
2.0	5341.0
3.0	4710.0
4.0	4096.0
5.0	2910.0
6.0	2079.0
7.0	1045.0
8.0	646.0
9.0	270.0
10.0	123.0
11.0	92.0
12.0	22.0
13.0	129.0
14.0	10.0
221.0	1.0
488.0	1.0
541.0	1.0
606.0	1.0
682.0	1.0
749.0	1.0
851.0	1.0
927.0	1.0
955.0	1.0
1041.0	1.0
1128.0	1.0
1266.0	1.0
1392.0	1.0
1532.0	1.0
1644.0	1.0
1664.0	1.0
1681.0	1.0
1700.0	2.0
1721.0	1.0
1733.0	1.0
1744.0	1.0
1765.0	1.0
1790.0	1.0
1793.0	1.0
1820.0	1.0
1848.0	1.0
1875.0	1.0
1886.0	1.0
1921.0	1.0
1937.0	1.0
1939.0	1.0
1947.0	3.0
