#Insert size (bp)	insert size
9.0	8.0
10.0	8.0
11.0	11.0
12.0	10.0
13.0	6.0
14.0	8.0
15.0	10.0
16.0	9.0
17.0	9.0
18.0	6.0
19.0	25.0
20.0	29.0
21.0	28.0
22.0	83.0
23.0	68.0
24.0	64.0
25.0	70.0
26.0	48.0
27.0	42.0
28.0	52.0
29.0	53.0
30.0	45.0
31.0	43.0
32.0	33.0
33.0	97.0
34.0	73.0
35.0	21.0
55.0	1.0
61.0	1.0
67.0	1.0
68.0	1.0
74.0	1.0
78.0	2.0
79.0	1.0
81.0	1.0
82.0	3.0
85.0	1.0
86.0	1.0
87.0	1.0
88.0	2.0
89.0	2.0
92.0	3.0
93.0	1.0
94.0	1.0
95.0	2.0
96.0	1.0
98.0	4.0
99.0	2.0
100.0	1.0
101.0	2.0
102.0	4.0
104.0	3.0
107.0	1.0
108.0	2.0
109.0	4.0
110.0	3.0
111.0	1.0
112.0	3.0
113.0	3.0
114.0	5.0
115.0	3.0
117.0	1.0
120.0	2.0
121.0	2.0
122.0	1.0
123.0	3.0
124.0	2.0
125.0	5.0
128.0	2.0
130.0	3.0
131.0	3.0
132.0	4.0
133.0	2.0
134.0	1.0
135.0	2.0
136.0	3.0
137.0	2.0
138.0	2.0
139.0	2.0
140.0	1.0
141.0	3.0
142.0	1.0
143.0	2.0
144.0	3.0
146.0	1.0
147.0	5.0
148.0	1.0
149.0	4.0
150.0	1.0
152.0	2.0
154.0	2.0
155.0	1.0
156.0	2.0
157.0	3.0
158.0	1.0
159.0	3.0
161.0	1.0
162.0	2.0
163.0	1.0
164.0	3.0
