#GC Content (%)	Sample
1.0	0.002079280155642023
2.0	1.2159533073929961E-4
3.0	0.0
4.0	1.8239299610894942E-4
5.0	4.134241245136187E-4
6.0	0.0
7.0	0.0
8.0	1.2159533073929962E-5
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	2.4319066147859924E-5
21.0	0.0
22.0	0.0
23.0	0.0
24.0	1.2159533073929962E-5
25.0	1.2159533073929962E-5
26.0	6.079766536964981E-4
27.0	0.002735894941634241
28.0	0.002760214007782101
29.0	0.002966926070038911
30.0	0.010311284046692607
31.0	0.01832441634241245
32.0	0.02758998054474708
33.0	0.041974708171206215
34.0	0.05787937743190662
35.0	0.07857490272373541
36.0	0.09084387159533072
37.0	0.09766536964980545
38.0	0.09169503891050583
39.0	0.08747568093385212
40.0	0.08069066147859921
41.0	0.06995379377431907
42.0	0.057149805447470815
43.0	0.04066147859922179
44.0	0.02410019455252918
45.0	0.018154182879377433
46.0	0.016889591439688715
47.0	0.017947470817120625
48.0	0.01616001945525292
49.0	0.012585116731517508
50.0	0.011198929961089494
51.0	0.009143968871595331
52.0	0.00648103112840467
53.0	0.0038910505836575876
54.0	6.687743190661479E-4
55.0	0.0
56.0	1.2159533073929962E-5
57.0	0.0
58.0	1.2159533073929962E-5
59.0	0.0
60.0	0.0
61.0	0.0
62.0	1.2159533073929962E-5
63.0	1.2159533073929962E-5
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.2159533073929962E-5
