#Insert size (bp)	insert size
4.0	1.0
7.0	6.0
8.0	9.0
9.0	24.0
10.0	18.0
11.0	24.0
12.0	27.0
13.0	33.0
14.0	30.0
15.0	23.0
16.0	18.0
17.0	30.0
18.0	31.0
19.0	114.0
20.0	92.0
21.0	79.0
22.0	175.0
23.0	176.0
24.0	157.0
25.0	133.0
26.0	136.0
27.0	120.0
28.0	108.0
29.0	102.0
30.0	113.0
31.0	107.0
32.0	103.0
33.0	5750.0
34.0	151.0
35.0	98.0
36.0	3.0
37.0	1.0
38.0	1.0
39.0	3.0
40.0	2.0
41.0	2.0
42.0	1.0
43.0	4.0
44.0	5.0
45.0	7.0
46.0	1.0
47.0	3.0
48.0	4.0
49.0	1.0
50.0	54.0
51.0	58.0
52.0	91.0
53.0	81.0
54.0	76.0
55.0	83.0
56.0	90.0
57.0	121.0
58.0	145.0
59.0	139.0
60.0	152.0
61.0	169.0
62.0	176.0
63.0	201.0
64.0	221.0
65.0	211.0
66.0	238.0
67.0	256.0
68.0	261.0
69.0	298.0
70.0	309.0
71.0	336.0
72.0	402.0
73.0	405.0
74.0	422.0
75.0	454.0
76.0	483.0
77.0	504.0
78.0	566.0
79.0	604.0
80.0	652.0
81.0	663.0
82.0	720.0
83.0	716.0
84.0	795.0
85.0	858.0
86.0	878.0
87.0	954.0
88.0	934.0
89.0	1002.0
90.0	1043.0
91.0	1096.0
92.0	1173.0
93.0	1215.0
94.0	1242.0
95.0	1287.0
96.0	1270.0
97.0	1346.0
98.0	1401.0
99.0	1322.0
100.0	1319.0
101.0	1415.0
102.0	1454.0
103.0	1453.0
104.0	1471.0
105.0	1477.0
106.0	1550.0
107.0	1464.0
108.0	1468.0
109.0	1535.0
110.0	1523.0
111.0	1522.0
112.0	1443.0
113.0	1530.0
114.0	1569.0
115.0	1556.0
116.0	1615.0
117.0	1609.0
118.0	1597.0
119.0	1508.0
120.0	1602.0
121.0	1557.0
122.0	1590.0
123.0	1535.0
124.0	1609.0
125.0	1632.0
126.0	1565.0
127.0	1567.0
128.0	1606.0
129.0	1581.0
130.0	1550.0
131.0	1536.0
132.0	1499.0
133.0	1522.0
134.0	1544.0
135.0	1578.0
136.0	1552.0
137.0	1576.0
138.0	1616.0
139.0	1547.0
140.0	1529.0
141.0	1476.0
142.0	1500.0
143.0	1483.0
144.0	1507.0
145.0	1462.0
146.0	1498.0
147.0	1546.0
148.0	1483.0
149.0	1487.0
150.0	1548.0
151.0	1465.0
152.0	1437.0
153.0	1408.0
154.0	1392.0
155.0	1371.0
156.0	1490.0
157.0	1415.0
158.0	1504.0
159.0	1469.0
160.0	1444.0
161.0	1407.0
162.0	1353.0
163.0	1324.0
164.0	1309.0
165.0	1400.0
166.0	1339.0
167.0	1347.0
168.0	1350.0
169.0	1358.0
170.0	1320.0
171.0	1386.0
172.0	1280.0
173.0	1330.0
174.0	1296.0
175.0	1306.0
176.0	1223.0
177.0	1298.0
178.0	1330.0
179.0	1283.0
180.0	1284.0
181.0	1256.0
182.0	1218.0
183.0	1210.0
184.0	1262.0
185.0	1288.0
186.0	1154.0
187.0	1189.0
188.0	1202.0
189.0	1182.0
190.0	1217.0
191.0	1257.0
192.0	1211.0
193.0	1147.0
194.0	1155.0
195.0	1192.0
196.0	1130.0
197.0	1142.0
198.0	1135.0
199.0	1191.0
200.0	1178.0
201.0	1145.0
202.0	1102.0
203.0	1075.0
204.0	1044.0
205.0	1094.0
206.0	1071.0
207.0	1019.0
208.0	1043.0
209.0	1007.0
210.0	1091.0
211.0	1029.0
212.0	1064.0
213.0	1044.0
214.0	1032.0
215.0	988.0
216.0	994.0
217.0	966.0
218.0	938.0
219.0	1001.0
220.0	962.0
221.0	965.0
222.0	960.0
223.0	974.0
224.0	996.0
225.0	949.0
226.0	949.0
227.0	956.0
228.0	934.0
229.0	932.0
230.0	973.0
231.0	872.0
232.0	926.0
233.0	903.0
234.0	849.0
235.0	853.0
236.0	831.0
237.0	790.0
238.0	831.0
239.0	831.0
240.0	850.0
241.0	877.0
242.0	830.0
243.0	825.0
244.0	812.0
245.0	828.0
246.0	770.0
247.0	787.0
248.0	806.0
249.0	778.0
250.0	789.0
251.0	792.0
252.0	735.0
253.0	760.0
254.0	789.0
255.0	763.0
256.0	739.0
257.0	732.0
258.0	782.0
259.0	721.0
260.0	717.0
261.0	730.0
262.0	688.0
263.0	737.0
264.0	707.0
265.0	685.0
266.0	686.0
267.0	673.0
268.0	657.0
269.0	644.0
270.0	676.0
271.0	677.0
272.0	628.0
273.0	651.0
274.0	691.0
275.0	606.0
276.0	659.0
277.0	624.0
278.0	596.0
279.0	590.0
280.0	611.0
281.0	592.0
282.0	568.0
283.0	639.0
284.0	589.0
285.0	592.0
286.0	603.0
287.0	596.0
288.0	536.0
289.0	545.0
290.0	548.0
291.0	536.0
292.0	538.0
293.0	560.0
294.0	525.0
295.0	529.0
296.0	554.0
297.0	513.0
298.0	523.0
299.0	477.0
300.0	519.0
301.0	530.0
302.0	515.0
303.0	486.0
304.0	521.0
305.0	520.0
306.0	525.0
307.0	490.0
308.0	475.0
309.0	523.0
310.0	495.0
311.0	482.0
312.0	442.0
313.0	477.0
314.0	441.0
315.0	428.0
316.0	405.0
317.0	425.0
318.0	398.0
319.0	432.0
320.0	377.0
321.0	419.0
322.0	419.0
323.0	410.0
324.0	458.0
325.0	422.0
326.0	364.0
327.0	373.0
328.0	375.0
329.0	390.0
330.0	357.0
331.0	382.0
332.0	396.0
333.0	386.0
334.0	385.0
335.0	376.0
336.0	376.0
337.0	342.0
338.0	331.0
339.0	372.0
340.0	332.0
341.0	322.0
342.0	358.0
343.0	311.0
344.0	319.0
345.0	308.0
346.0	334.0
347.0	312.0
348.0	356.0
349.0	339.0
350.0	348.0
351.0	313.0
