#Coverage	Number of genomic locations
0.0	4672.0
1.0	3020.0
2.0	6428.0
3.0	3440.0
4.0	4052.0
5.0	2578.0
6.0	2296.0
7.0	966.0
8.0	984.0
9.0	416.0
10.0	365.0
11.0	267.0
12.0	113.0
13.0	111.0
14.0	8.0
15.0	67.0
16.0	33.0
17.0	25.0
18.0	3.0
19.0	1.0
22.0	20.0
25.0	1.0
53.0	1.0
128.0	1.0
7867.0	1.0
13444.0	1.0
51316.0	1.0
53008.0	1.0
53374.0	1.0
53824.0	1.0
54321.0	1.0
54841.0	1.0
55441.0	1.0
56155.0	1.0
57024.0	1.0
57925.0	1.0
58899.0	1.0
59934.0	1.0
61072.0	1.0
61254.0	1.0
61385.0	1.0
61548.0	1.0
61717.0	1.0
61843.0	1.0
61866.0	1.0
61993.0	1.0
62136.0	1.0
62319.0	1.0
62501.0	1.0
62617.0	1.0
62675.0	1.0
62874.0	1.0
63086.0	1.0
63282.0	1.0
63326.0	1.0
63375.0	1.0
63386.0	1.0
63391.0	1.0
63395.0	1.0
