#Coverage	Number of genomic locations
0.0	8895.0
1.0	4667.0
2.0	6910.0
3.0	3075.0
4.0	2786.0
5.0	1610.0
6.0	968.0
7.0	480.0
8.0	209.0
9.0	76.0
10.0	103.0
11.0	35.0
12.0	46.0
13.0	7.0
16.0	1.0
2562.0	1.0
2786.0	1.0
18961.0	1.0
19338.0	1.0
19362.0	1.0
19392.0	1.0
19412.0	1.0
19430.0	1.0
19443.0	1.0
19469.0	1.0
19483.0	1.0
19498.0	1.0
19507.0	1.0
19516.0	1.0
19526.0	1.0
19534.0	1.0
19544.0	1.0
19556.0	1.0
19569.0	1.0
19573.0	1.0
19583.0	1.0
19589.0	1.0
19592.0	1.0
19598.0	1.0
19603.0	1.0
19612.0	2.0
19614.0	1.0
19623.0	1.0
19626.0	1.0
19627.0	1.0
19629.0	1.0
19631.0	3.0
