#Insert size (bp)	insert size
243.0	83.0
244.0	63.0
245.0	82.0
246.0	85.0
247.0	67.0
248.0	57.0
249.0	72.0
250.0	55.0
251.0	62.0
252.0	84.0
253.0	72.0
254.0	56.0
255.0	79.0
256.0	77.0
257.0	68.0
258.0	59.0
259.0	65.0
260.0	56.0
261.0	71.0
262.0	60.0
263.0	51.0
264.0	63.0
265.0	73.0
266.0	53.0
267.0	57.0
268.0	52.0
269.0	58.0
270.0	63.0
271.0	42.0
272.0	44.0
273.0	44.0
274.0	46.0
275.0	63.0
276.0	57.0
277.0	50.0
278.0	51.0
279.0	60.0
280.0	52.0
281.0	48.0
282.0	44.0
283.0	44.0
284.0	45.0
285.0	43.0
286.0	40.0
287.0	52.0
288.0	37.0
289.0	47.0
290.0	48.0
291.0	43.0
292.0	36.0
293.0	38.0
294.0	43.0
295.0	44.0
296.0	25.0
297.0	43.0
298.0	39.0
299.0	31.0
300.0	29.0
301.0	33.0
302.0	44.0
303.0	31.0
304.0	37.0
305.0	27.0
306.0	36.0
307.0	45.0
308.0	23.0
309.0	26.0
310.0	31.0
311.0	26.0
312.0	34.0
313.0	24.0
314.0	34.0
315.0	25.0
316.0	31.0
317.0	31.0
318.0	32.0
319.0	33.0
320.0	30.0
321.0	34.0
322.0	26.0
323.0	28.0
324.0	22.0
325.0	24.0
326.0	24.0
327.0	26.0
328.0	23.0
329.0	17.0
330.0	21.0
331.0	25.0
332.0	20.0
333.0	24.0
334.0	33.0
335.0	29.0
336.0	19.0
337.0	19.0
338.0	22.0
339.0	18.0
340.0	6.0
341.0	25.0
342.0	20.0
343.0	25.0
344.0	23.0
345.0	21.0
346.0	21.0
347.0	22.0
348.0	25.0
349.0	16.0
350.0	22.0
351.0	18.0
352.0	16.0
353.0	22.0
354.0	20.0
355.0	26.0
356.0	12.0
357.0	20.0
358.0	13.0
359.0	11.0
360.0	11.0
361.0	17.0
362.0	20.0
363.0	12.0
364.0	16.0
365.0	21.0
366.0	12.0
367.0	17.0
368.0	13.0
369.0	16.0
370.0	19.0
371.0	12.0
372.0	17.0
373.0	12.0
374.0	14.0
375.0	13.0
376.0	13.0
377.0	9.0
378.0	7.0
379.0	10.0
380.0	9.0
381.0	13.0
382.0	11.0
383.0	13.0
384.0	11.0
385.0	12.0
386.0	10.0
387.0	12.0
388.0	9.0
389.0	20.0
390.0	10.0
391.0	7.0
392.0	6.0
393.0	11.0
394.0	14.0
395.0	4.0
396.0	13.0
397.0	10.0
398.0	11.0
399.0	9.0
400.0	4.0
401.0	9.0
402.0	6.0
403.0	9.0
404.0	7.0
405.0	6.0
406.0	7.0
407.0	9.0
408.0	6.0
409.0	13.0
410.0	8.0
411.0	11.0
412.0	3.0
413.0	4.0
414.0	4.0
415.0	10.0
416.0	7.0
