#GC Content (%)	Sample
1.0	0.012538082962268575
2.0	0.0017576751816264355
3.0	1.1717834544176236E-4
4.0	0.0018748535270681978
5.0	0.0064448089992969314
6.0	4.6871338176704945E-4
7.0	0.0
8.0	0.0
9.0	1.1717834544176236E-4
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	2.3435669088352472E-4
24.0	0.0
25.0	1.1717834544176236E-4
26.0	3.515350363252871E-4
27.0	0.002929458636044059
28.0	0.0035153503632528705
29.0	0.003398172017811108
30.0	0.00796812749003984
31.0	0.015350363252870869
32.0	0.03011483477853293
33.0	0.043004452777126785
34.0	0.05858917272088118
35.0	0.07944691820951487
36.0	0.08378251699086009
37.0	0.09585188657136161
38.0	0.08893836419029764
39.0	0.08589172720881182
40.0	0.07358800093742676
41.0	0.0672603702835716
42.0	0.05589407077572065
43.0	0.040426529177408015
44.0	0.024841809233653624
45.0	0.01687368174361378
46.0	0.01874853527068198
47.0	0.01781110850714788
48.0	0.017342395125380827
49.0	0.01136629950785095
50.0	0.011366299507850949
51.0	0.010077337707991563
52.0	0.005976095617529881
53.0	0.004804312163112257
54.0	7.030700726505741E-4
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	1.1717834544176236E-4
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
