#Coverage	Number of genomic locations
0.0	4.0
1.0	9.0
3.0	1.0
8.0	1.0
23.0	1.0
28.0	1.0
34.0	1.0
45.0	2.0
52.0	1.0
56.0	1.0
59.0	1.0
70.0	1.0
71.0	2.0
73.0	3.0
74.0	2.0
75.0	2.0
76.0	1.0
81.0	3.0
82.0	3.0
83.0	4.0
84.0	1.0
85.0	14.0
86.0	6.0
87.0	3.0
88.0	7.0
89.0	2.0
90.0	7.0
91.0	5.0
92.0	4.0
93.0	12.0
94.0	6.0
95.0	8.0
96.0	6.0
97.0	17.0
98.0	17.0
99.0	5.0
100.0	7.0
101.0	20.0
102.0	28.0
103.0	23.0
104.0	20.0
105.0	27.0
106.0	33.0
107.0	41.0
108.0	42.0
109.0	41.0
110.0	36.0
111.0	27.0
112.0	34.0
113.0	35.0
114.0	36.0
115.0	39.0
116.0	37.0
117.0	32.0
118.0	48.0
119.0	48.0
120.0	39.0
121.0	38.0
122.0	59.0
123.0	54.0
124.0	44.0
125.0	47.0
126.0	56.0
127.0	67.0
128.0	52.0
129.0	67.0
130.0	62.0
131.0	48.0
132.0	57.0
133.0	59.0
134.0	59.0
135.0	71.0
136.0	53.0
137.0	69.0
138.0	91.0
139.0	93.0
140.0	69.0
141.0	76.0
142.0	62.0
143.0	100.0
144.0	110.0
145.0	72.0
146.0	85.0
147.0	106.0
148.0	65.0
149.0	110.0
150.0	86.0
151.0	105.0
152.0	75.0
153.0	93.0
154.0	129.0
155.0	111.0
156.0	95.0
157.0	113.0
158.0	84.0
159.0	83.0
160.0	94.0
161.0	105.0
162.0	102.0
163.0	97.0
164.0	136.0
165.0	98.0
166.0	128.0
167.0	106.0
168.0	98.0
169.0	99.0
170.0	103.0
171.0	120.0
172.0	82.0
173.0	89.0
174.0	130.0
175.0	118.0
176.0	97.0
177.0	116.0
178.0	94.0
179.0	86.0
180.0	98.0
181.0	106.0
182.0	116.0
183.0	124.0
184.0	112.0
185.0	101.0
186.0	113.0
187.0	108.0
188.0	104.0
189.0	109.0
190.0	101.0
191.0	110.0
192.0	99.0
193.0	109.0
194.0	90.0
195.0	130.0
196.0	122.0
197.0	105.0
198.0	140.0
199.0	123.0
200.0	118.0
201.0	103.0
202.0	132.0
203.0	114.0
204.0	110.0
205.0	114.0
206.0	126.0
207.0	151.0
208.0	135.0
209.0	131.0
210.0	107.0
211.0	116.0
212.0	110.0
213.0	90.0
214.0	130.0
215.0	166.0
216.0	119.0
217.0	142.0
218.0	139.0
219.0	125.0
220.0	141.0
221.0	126.0
222.0	173.0
223.0	180.0
224.0	171.0
225.0	105.0
226.0	121.0
227.0	129.0
228.0	111.0
229.0	125.0
230.0	119.0
231.0	110.0
232.0	120.0
233.0	96.0
234.0	121.0
235.0	123.0
236.0	129.0
237.0	140.0
238.0	128.0
239.0	110.0
240.0	116.0
241.0	112.0
242.0	117.0
243.0	125.0
244.0	111.0
245.0	93.0
246.0	111.0
247.0	120.0
248.0	114.0
249.0	100.0
250.0	96.0
251.0	118.0
252.0	110.0
253.0	116.0
254.0	92.0
255.0	106.0
256.0	93.0
257.0	87.0
258.0	89.0
259.0	108.0
260.0	85.0
261.0	78.0
262.0	85.0
263.0	102.0
264.0	108.0
265.0	121.0
266.0	109.0
267.0	82.0
268.0	95.0
269.0	101.0
270.0	92.0
271.0	114.0
272.0	119.0
273.0	121.0
274.0	94.0
275.0	94.0
276.0	109.0
277.0	109.0
278.0	111.0
279.0	115.0
280.0	97.0
281.0	96.0
282.0	111.0
283.0	104.0
284.0	123.0
285.0	111.0
286.0	94.0
287.0	83.0
288.0	88.0
289.0	85.0
290.0	83.0
291.0	103.0
292.0	102.0
293.0	103.0
294.0	109.0
295.0	105.0
296.0	93.0
297.0	90.0
298.0	82.0
299.0	86.0
300.0	91.0
301.0	90.0
302.0	78.0
303.0	63.0
304.0	69.0
305.0	77.0
306.0	80.0
307.0	86.0
308.0	81.0
309.0	88.0
310.0	87.0
311.0	81.0
312.0	79.0
313.0	85.0
314.0	74.0
315.0	73.0
316.0	61.0
317.0	108.0
318.0	101.0
319.0	89.0
320.0	93.0
321.0	72.0
322.0	74.0
323.0	66.0
324.0	92.0
325.0	72.0
326.0	71.0
327.0	69.0
328.0	81.0
329.0	74.0
330.0	94.0
331.0	85.0
332.0	94.0
333.0	84.0
334.0	67.0
335.0	49.0
336.0	73.0
337.0	75.0
338.0	59.0
339.0	79.0
340.0	63.0
341.0	62.0
342.0	77.0
343.0	83.0
344.0	79.0
345.0	90.0
346.0	85.0
347.0	64.0
348.0	82.0
349.0	75.0
350.0	78.0
351.0	74.0
352.0	51.0
353.0	58.0
354.0	61.0
355.0	62.0
356.0	67.0
357.0	57.0
358.0	74.0
359.0	61.0
360.0	66.0
361.0	46.0
362.0	49.0
363.0	82.0
364.0	62.0
365.0	54.0
366.0	51.0
367.0	68.0
368.0	69.0
369.0	105.0
370.0	78.0
371.0	87.0
372.0	61.0
373.0	52.0
374.0	56.0
375.0	75.0
376.0	87.0
377.0	84.0
378.0	89.0
379.0	77.0
380.0	85.0
381.0	56.0
382.0	66.0
383.0	55.0
384.0	52.0
385.0	51.0
386.0	62.0
387.0	57.0
388.0	54.0
389.0	52.0
390.0	46.0
391.0	54.0
392.0	60.0
393.0	46.0
394.0	47.0
395.0	49.0
396.0	34.0
397.0	52.0
398.0	30.0
399.0	45.0
400.0	33.0
401.0	49.0
402.0	34.0
403.0	42.0
404.0	38.0
405.0	39.0
406.0	38.0
407.0	29.0
408.0	38.0
409.0	39.0
410.0	35.0
411.0	41.0
412.0	33.0
413.0	31.0
414.0	39.0
415.0	34.0
416.0	21.0
417.0	23.0
418.0	28.0
419.0	44.0
420.0	41.0
421.0	39.0
422.0	31.0
423.0	38.0
424.0	37.0
425.0	34.0
426.0	26.0
427.0	49.0
428.0	34.0
429.0	38.0
430.0	41.0
431.0	24.0
432.0	34.0
433.0	21.0
434.0	35.0
435.0	17.0
436.0	20.0
437.0	19.0
438.0	25.0
439.0	21.0
440.0	16.0
441.0	14.0
442.0	25.0
443.0	27.0
444.0	29.0
445.0	23.0
446.0	18.0
447.0	23.0
448.0	23.0
449.0	21.0
450.0	20.0
451.0	23.0
452.0	31.0
453.0	43.0
454.0	30.0
455.0	24.0
456.0	36.0
457.0	25.0
458.0	27.0
459.0	26.0
460.0	31.0
461.0	19.0
462.0	22.0
463.0	18.0
464.0	21.0
465.0	29.0
466.0	30.0
467.0	30.0
468.0	24.0
469.0	22.0
470.0	29.0
471.0	18.0
472.0	27.0
473.0	13.0
474.0	20.0
475.0	17.0
476.0	16.0
477.0	19.0
478.0	21.0
479.0	15.0
480.0	15.0
481.0	23.0
482.0	17.0
483.0	19.0
484.0	18.0
485.0	16.0
486.0	19.0
487.0	22.0
488.0	22.0
489.0	16.0
490.0	15.0
491.0	18.0
492.0	21.0
493.0	11.0
494.0	9.0
495.0	12.0
496.0	12.0
497.0	6.0
498.0	18.0
499.0	7.0
500.0	5.0
501.0	13.0
502.0	10.0
503.0	24.0
504.0	11.0
505.0	13.0
506.0	7.0
507.0	7.0
508.0	11.0
509.0	9.0
510.0	7.0
511.0	7.0
512.0	8.0
513.0	10.0
514.0	6.0
515.0	5.0
516.0	11.0
517.0	5.0
518.0	7.0
519.0	3.0
520.0	8.0
521.0	10.0
522.0	7.0
523.0	5.0
524.0	3.0
525.0	6.0
526.0	2.0
527.0	6.0
528.0	5.0
529.0	7.0
530.0	8.0
531.0	8.0
532.0	4.0
533.0	6.0
534.0	10.0
535.0	5.0
536.0	5.0
537.0	5.0
538.0	11.0
539.0	8.0
540.0	7.0
541.0	5.0
542.0	10.0
543.0	12.0
544.0	11.0
545.0	4.0
546.0	11.0
547.0	14.0
548.0	10.0
549.0	5.0
550.0	8.0
551.0	6.0
552.0	4.0
553.0	13.0
554.0	7.0
555.0	10.0
556.0	6.0
557.0	4.0
558.0	3.0
559.0	6.0
560.0	4.0
561.0	7.0
562.0	7.0
563.0	5.0
564.0	8.0
565.0	6.0
566.0	3.0
567.0	4.0
568.0	4.0
569.0	5.0
570.0	3.0
571.0	7.0
572.0	7.0
573.0	7.0
574.0	7.0
575.0	10.0
576.0	8.0
577.0	8.0
578.0	11.0
579.0	10.0
580.0	8.0
581.0	15.0
582.0	11.0
583.0	8.0
584.0	4.0
586.0	2.0
587.0	6.0
588.0	10.0
589.0	8.0
590.0	5.0
591.0	5.0
592.0	11.0
593.0	7.0
594.0	10.0
595.0	5.0
596.0	3.0
597.0	14.0
598.0	5.0
599.0	2.0
600.0	6.0
601.0	3.0
602.0	12.0
603.0	1.0
604.0	10.0
605.0	14.0
606.0	17.0
607.0	7.0
608.0	5.0
609.0	8.0
610.0	7.0
611.0	6.0
612.0	5.0
613.0	7.0
614.0	5.0
615.0	5.0
616.0	3.0
617.0	3.0
618.0	2.0
619.0	6.0
620.0	3.0
621.0	2.0
623.0	3.0
624.0	5.0
625.0	5.0
626.0	6.0
627.0	4.0
628.0	1.0
629.0	5.0
630.0	1.0
632.0	2.0
633.0	2.0
634.0	2.0
636.0	2.0
637.0	1.0
639.0	1.0
641.0	1.0
643.0	1.0
644.0	1.0
646.0	1.0
647.0	1.0
648.0	1.0
649.0	1.0
651.0	1.0
653.0	3.0
654.0	3.0
1033.0	1.0
3675.0	1.0
5480.0	1.0
5733.0	1.0
5933.0	1.0
6105.0	1.0
6332.0	1.0
6613.0	1.0
6919.0	1.0
7256.0	1.0
7705.0	1.0
8160.0	1.0
8667.0	1.0
9219.0	1.0
9710.0	1.0
9752.0	1.0
9784.0	1.0
9811.0	1.0
9887.0	1.0
9962.0	1.0
10043.0	1.0
10105.0	1.0
10142.0	1.0
10220.0	1.0
10312.0	1.0
10405.0	1.0
10477.0	1.0
10507.0	1.0
10621.0	1.0
10747.0	1.0
10773.0	1.0
10800.0	1.0
10817.0	1.0
10819.0	1.0
10820.0	1.0
