#Mapping quality	mapping quality
25.0	4.0
26.0	3.0
27.0	1.0
29.0	1.0
30.0	1.0
31.0	1.0
33.0	7.0
34.0	10.0
35.0	6.0
36.0	1.0
40.0	38.0
42.0	1.0
43.0	1.0
45.0	1.0
46.0	39.0
47.0	1.0
48.0	12.0
49.0	2.0
50.0	36.0
51.0	29.0
52.0	27.0
53.0	102.0
54.0	105.0
55.0	104.0
56.0	246.0
57.0	212.0
58.0	242.0
59.0	9.0
60.0	28145.0
