#Coverage	Number of genomic locations
0.0	516.0
1.0	793.0
2.0	1506.0
3.0	1650.0
4.0	1849.0
5.0	1895.0
6.0	2273.0
7.0	2230.0
8.0	2916.0
9.0	1995.0
10.0	1573.0
11.0	1375.0
12.0	1163.0
13.0	1064.0
14.0	1108.0
15.0	1106.0
16.0	908.0
17.0	687.0
18.0	513.0
19.0	534.0
20.0	493.0
21.0	269.0
22.0	276.0
23.0	251.0
24.0	186.0
25.0	202.0
26.0	143.0
27.0	35.0
28.0	36.0
29.0	62.0
30.0	49.0
31.0	49.0
32.0	20.0
33.0	36.0
34.0	13.0
35.0	2.0
36.0	19.0
37.0	29.0
38.0	18.0
39.0	8.0
40.0	1.0
41.0	8.0
42.0	2.0
44.0	6.0
84.0	1.0
830.0	1.0
2141.0	1.0
2369.0	1.0
2603.0	1.0
2844.0	1.0
3107.0	1.0
3449.0	1.0
3820.0	1.0
4069.0	1.0
4258.0	1.0
4748.0	1.0
5274.0	1.0
5928.0	1.0
6586.0	1.0
7172.0	1.0
7250.0	1.0
7285.0	1.0
7315.0	1.0
7403.0	1.0
7494.0	1.0
7585.0	1.0
7675.0	1.0
7694.0	1.0
7797.0	1.0
7893.0	1.0
8004.0	1.0
8098.0	1.0
8130.0	1.0
8270.0	1.0
8420.0	1.0
8459.0	1.0
8487.0	1.0
8512.0	1.0
8520.0	1.0
8522.0	1.0
