#Coverage (X)	Coverage
1.0	98.27442062669297
2.0	95.62251279135873
3.0	90.58622880647427
4.0	85.06838778717855
5.0	78.88506169949503
6.0	72.5479048924857
7.0	64.94666087014681
8.0	57.48921512891683
9.0	47.737685182088754
10.0	41.06611376784938
11.0	35.8057719961208
12.0	31.207571146707693
13.0	27.318329264622278
14.0	23.760157843694614
15.0	20.054843995585728
16.0	16.356218439621443
17.0	13.319733805972646
18.0	11.022305454302241
19.0	9.30675851921211
20.0	7.520984516603676
21.0	5.872320502959553
22.0	4.972745209510734
23.0	4.049760893555813
24.0	3.2103802294084005
25.0	2.588369059960513
26.0	1.9128515533558215
27.0	1.4346386650168625
28.0	1.3175935524863434
29.0	1.1972042938835301
30.0	0.989867237400901
31.0	0.8260040798581798
32.0	0.6621409223154586
33.0	0.5952580008694497
34.0	0.47486874226663645
35.0	0.4313948433267285
36.0	0.4247065511821262
37.0	0.3611677758084113
38.0	0.26418753971169906
39.0	0.20399291041029244
40.0	0.17723974183188318
41.0	0.17389559575958913
42.0	0.14714242718117987
43.0	0.14045413503657755
44.0	0.14045413503657755
45.0	0.12038925860277061
46.0	0.12038925860277061
47.0	0.12038925860277061
48.0	0.12038925860277061
49.0	0.12038925860277061
50.0	0.12038925860277061
51.0	0.12038925860277061
